ID Requirement,Requirement,Note,ID Sub Requirement,SubRequirement,SubReq Note,ID SubSub Requirement,SubSubRequirement,SubSubReq Note
req_01,Connect with twitch,,,,,,,
,,,<<req_05>>,IRC Twitch Connector,,,,
,,,<<req_06>>,Retrieve user data for the connection,,,,
req_02,Read chat from a streamer,,,,,,,
,,,req_07,Get a list of streamer to monitor,,,,
,,,req_08,Request the content of the streamer's chat ,,,,
,,,req_09,Request the content of the streamer's chat ,,,,
,,,req_10,Collect messages,,,,
,,,req_11,Tag as bot messages of users in the bot list file,,,,
,,,req_12,Create process,,,,
,,,,,,<<req_22>>,Get process timeout if user wants recording for a limited time,
,,,,,,<<req_23>>,Start process,
,,,,,,<<req_23>>,Handle halt process,
<<req_03>>,Save chat read,,,,,,,
,,,<<req_13>>,Get where save data,,,,
,,,<<req_14>>,Store in file json data collected,,,,
,,,,,,<<req_24>>,Create file if doesn't exist,
,,,,,,<<req_25>>,Add records in the file,
,,,<<req_15>>,Store data in Database,,,,
,,,,,,<<req_26>>,Create database if doesn't exist,
,,,,,,<<req_27>>,Add records in the database,
,,,<<req_16>>,Create Message Interpreter,,,,
,,,,,,<<req_28>>,Extract viewer name,
,,,,,,<<req_29>>,Extract viewer message,
,,,,,,<<req_30>>,Extract viewer timestamp,
<<req_04>>,Extract metrics from streamer's chat,,,,,,,
,,,<<req_17>>,Create file storing bots name if doesn't exist,,,,
,,,<<req_18>>,Update bot list file,,,,
,,,<<req_19>>,Create Viewier's reports,,,,
,,,<<req_20>>,Create Bot's reports,,,,
,,,<<req_21>>,Create Streamers compare's reports,,,,
